"Posting_Date","Application_Deadline","Position","Job_Category","Institution","Department","Salary_Min","Salary_Max","Salary_Type","Schedule","Position_Type","Who_May_Apply","Requirements","URI","Location","Country","Longitude","Latitude"
"2017-03-08T00:00:00Z","2017-03-14T00:00:00Z","Bartender NA-05","Food Preparation And Serving","Army Installation Management Command","Department of the Army","11.59","13.5","Per Hour","Intermittent 21 hours","Permanent","US Citizens and Non-US Citizens of a NATO Country except Germany eligible for employment under US conditions within the commuting area of Stuttgart, Germany.","Candidates must: 1. Must meet state/local age requirements for the serving of alcoholic at the time of appointment. 2. Be able to lift and carry weights up to 40 pounds. 3. Possess math skills necessary to calculate bills and take inventory. 4. Skill in mixing and serving alcoholic and nonalcoholic beverages. 5. Ability to monitor and direct the work of other bar staff. 6. Work experience as a full service bartender.","https://www.usajobs.gov:443/GetJob/ViewDetails/464798200","Stuttgart, Germany","Germany",9.17192,48.7677
"2017-03-08T00:00:00Z","2017-03-14T00:00:00Z","Lead Child and Youth Program Assistant (Level 5) CY-02","Education","Army Installation Management Command","Department of the Army","14.96","17.78","Per Hour","Part Time 20 hours","Permanent","US Citizens and Non-US Citizens of a NATO Country except Germany eligible for employment under US conditions within the commuting area of Stuttgart, Germany.","Meet entry-level requirements and candidate must: - Meet Target-level requirements and satisfactory performance. - Possess eighteen (18) months experience working in a group program with children and/or youth. - Posses and maintain one of the following: Child Development Associate (CDA), Army School Age Credential (including Boys and Girls of America) or Army Practicum. OR - Possess twelve (12) months experience working in a group program with children and/or youth. - Possess AA degree with major emphasis in childcare. OR - Possess BA/BS degree with a major emphasis on ECE, Elementary Education, Child Development, Home Economics, Special Education or related behavioral sciences.","https://www.usajobs.gov:443/GetJob/ViewDetails/464494700","Stuttgart, Germany","Germany",9.17192,48.7677
"2017-03-08T00:00:00Z","2017-03-15T00:00:00Z","Licensed Practical Nurse (Primary Care)","Medical, Dental, And Public Health","Department of Veterans Affairs - Agency Wide","Department Of Veterans Affairs","36611","47598","Per Year","Full Time","Permanent","United States Citizens","Basic Requirements: U.S. citizenship. Non-citizens may be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy Meets physical standards Licensed practical or vocational nurses appointed to direct patient care positions must be proficient in (both) spoken and written English Preferred Experience: 1-2 years of Primary Care experience Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religions; spiritual; community; student; social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. Grade Determinations: GS-6: (a) Completion of] at least one (1) year of additional qualifying experience at the GS-5 level or equivalent fully meeting all performance requirements for the GS-5 LPN/LVN. (b) Technically proficient in initiating, performing and completing assigned duties in providing care to variable patient populations. (c) Knowledge and ability to appropriately carry out assigned patient care based on the patients' conditions; to use judgment in selecting the appropriate order and sequence of procedures and treatments; and to accurately recognize, report and record relevant] patient information. Completed work [should need] only a general review by a registered nurse (RN) or physician (MD/DO) for appropriateness and conformity with [established policies/procedures. (d) Ability to observe, identify and respond to the patient's needs for care, including medication, equipment-assisted care and patient/family education. In organizing and delivering care, the LPN/LVN recognizes and considers emotional, cultural, spiritual, socio-economic, and age-related factors. (e) Prepares and administers prescribed medications (oral, topical, subcutaneous, intramuscular and/or intravenous) and performs treatments according to established policies/procedures. Observes for physical and/or emotional changes in patient's condition from prescribed medications/treatments, promptly and accurately documenting noted changes, and reporting any deviations from normal to RN or MD/DO. (f) Knowledge and ability to recognize urgent or emergent patient care situations, seek assistance of the RN and/or MD/DO, and initiate appropriate emergency interventions as directed. (g) Knowledge and understanding of human behavior, patient motivations and reactions to situations, and ability to appropriately utilize this knowledge in working effectively with patients, family members, and other staff. (h) Establishes constructive relationships with individual patients and their families to elicit feelings and attitudes, and to promote positive relationships, communication and socialization skills. Fosters an environment of respect for individual patient and family rights to privacy and dignity in all aspects of care delivery. Effectively incorporates knowledge and understanding of established customer service standards in all interactions with patients, family members, and/or other internal/external customers. (i) Knowledge and skill in performing support duties for complex diagnostic tests and/or specialized practices or procedures, which include preparing the patient, assisting in the diagnostic examination, preparing and handling specialized instruments or other specialized equipment, and monitoring the patient's condition before, during, and following the procedure. Serves as a preceptor in orienting, educating, and training less experienced LPNs/LVNs or NAs/HTs related to support duties for these more complex, specialized tests/procedures. (j) Actively seeks out educational opportunities to enhance nursing knowledge and skills, sharing new knowledge gained with other staff to improve and advance nursing practice. References : VA Handbook 5005/3, Part II, Appendix G13, LICENSED PRACTICAL OR VOCATIONAL NURSE QUALIFICATION STANDARD , dated April 2003, http://vaww.va.gov/ohrm/Directives-Handbooks/Documents/5005.pdf","https://www.usajobs.gov:443/GetJob/ViewDetails/465437400","Dublin, Georgia","United States",-82.90728,32.53894
"2017-03-08T00:00:00Z","2017-03-22T00:00:00Z","Risk Management Examiner (MID-CAREER), CG-570-11","Accounting Budget And Finance","Federal Deposit Insurance Corporation","","62417","99553","Per Year","Competitive Service,","Permanent, Full-time","All United States Citizens. (Applicants with status or those eligible under special hiring authorities, should apply under FDIC merit promotion ann# 2017-HQ-B0817. However, if you desire consideration also under this public non-status announcement, you must apply to both. Status applicants are current permanent Federal employees in the competitive service and former Federal employees with reinstatement eligibility.)","Applicants must have one year of specialized experience equivalent to at least the grade 9 level in the Federal service. Specialized experience is experience independently evaluating at least one segment of the following CAMELS components: 1) determining an insured depository institutions compliance with governing laws and regulations; 2) ascertaining bank managements methods for identifying, measuring, monitoring and controlling risk; 3) reviewing and analyzing the quality of bank assets; 4) evaluating the level and trend of earnings, liquidity position, and sensitivity to market risk; and 5) evaluating the board of directors policies and bank managements practices.; OR have a Ph.D. or equivalent doctoral degree or 3 years of progressively higher level full-time graduate education leading to such a degree; or a LL.M in the following major field of study: accounting, banking, business administration, commercial or banking law, economics, finance, marketing or other fields related to the position. This education includes 24 semester hours in business administration, accounting, finance, marketing or economics with at least 6 semester hours in accounting; OR possess a combination of both education and experience. Applicants eligible for CTAP (Career Transition Assistance Program) or ICTAP (Interagency Career Transition Assistance Program) must achieve a score of 85 or higher in the online assessment to be determined ""well qualified"" for this position. For more information, click here .","https://www.usajobs.gov:443/GetJob/ViewDetails/465438100","Little Rock, Arkansas","United States",-92.2745,34.7487
"2017-03-06T00:00:00Z","2017-06-03T00:00:00Z","Aquatics Cashier","Social Science, Psychologist","Commander, Navy Installations","Department of the Navy","8.75","10.51","Per Hour","Flexible (0 - 40 hours per week)","Summer Seasonal","US Citizens and Bona Fide residents (green card holder)","Previous experience as a cashier desired. Must have the ability to make simple mathematical calculations to make change and prepare Daily Activity Reports. Must be able to follow instructions.","https://www.usajobs.gov:443/GetJob/ViewDetails/465331300","Naval Air Station Patuxent River, Maryland","United States",-76.4164,38.2917
"2017-03-08T00:00:00Z","2018-03-08T00:00:00Z","Physician (Anesthesiologist)","Medical, Dental, And Public Health","Veterans Affairs, Veterans Health Administration","Department Of Veterans Affairs","101967","400000","Per Year","Full Time","Excepted Service Permanent","United States Citizens","Basic Requirements : Citizenship of the United States. Noncitizens may be appointed when it is not possible to recruit qualified citizens in accordance with Department of Veterans Affairs policy. Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Department of Veterans Affairs for the year in which the course of study was completed. Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. Completion of a first-year residency, or its equivalent, approved by the Department of Veterans Affairs for the year in which it was completed. Proficiency in spoken and written English. Physical requirements outlined below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religions; spiritual; community; student; social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. Reference : VA Regulations, specifically VA Handbook 5005, Part II, Appendix G-2 Physician Qualification Standard. This can be found in the local Human Resources Office.","https://www.usajobs.gov:443/GetJob/ViewDetails/464799700","Pittsburgh, Pennsylvania","United States",-79.99746,40.43831
"2017-03-07T00:00:00Z","2017-06-03T00:00:00Z","Lifeguard","Social Science, Psychologist","Commander, Navy Installations","Department of the Navy","8.75","12.5","Per Hour","Flexible (0 - 40 hours per week)","Summer Seasonal","US Citizens and Bona Fide residents (green card holders)","Six months experience as a pool lifeguard is preferred. Must have an approved and current nationally recognized certification as a Lifeguard as well as Basic First Aide and CPR certifications ( please attach copies of current certifications with all required forms) . In addition, skill in the use and maintenance of pool equipment is desired. Dexterity to handle a person in the water who may panic or be unconscious. Understanding of and the ability to enforce rigid safety regulations to ensure maximum protection of swimmers. Ability to use equipment and take pool readings.","https://www.usajobs.gov:443/GetJob/ViewDetails/465359600","Naval Air Station Patuxent River, Maryland","United States",-76.4164,38.2917
"2017-01-30T00:00:00Z","2017-03-21T00:00:00Z","Tractor Operator (Golf Course)","Transportation/Mobile Equipment Operation","Commander, Navy Installations","Department of the Navy","12.92","13.5","Per Hour","Flexible","Seasonal","US Citizens and bona fide residents (Green Card holder)","Must possess a valid drivers license. Must be able to follow oral and written instructions and accomplish work independently with minimal supervision. Must be at least 18 years of age . Must have some degree of manual skill and prior work experience with powered hand tools and hand tools used to clean, maintain, and repair grounds and facilities. Incumbent must be able to complete a satisfactory national background investigation.","https://www.usajobs.gov:443/GetJob/ViewDetails/463487100","Naval Air Station Patuxent River, Maryland","United States",-76.4164,38.2917
"2017-03-08T00:00:00Z","2017-04-05T00:00:00Z","Emergency Management Specialist (French)","Safety, Health, And Physical","Centers for Disease Control and Prevention","Department Of Health And Human Services","90023","117028","Per Year","Full Time","Term NTE 2 years","United States Citizens","Applicants must have at least one year of specialized experience at or equivalent to the GS-12 in the Federal service as defined in the next paragraph. Specialized experience is experience which is directly related to the position which has equipped the applicant with the particular knowledge, skills and abilities (KSAs) to successfully perform the duties of the position to include planning, managing, coordinating, and executing public health preparedness, response, and recovery activities in domestic and international organizations. SELECTIVE PLACEMENT FACTOR: In addition to meeting the above minimum qualification requirements, applicants must be able to communicate effectively (i.e. speak, read and write) in English and French. Selective Placement Factors (SPF) are special qualification requirements, in addition to the minimum requirements, that are essential in successfully performing the duties of this job. If SPF experience is not documented in your resume, you will not receive further consideration under this announcement.","https://www.usajobs.gov:443/GetJob/ViewDetails/463074200","Atlanta, Georgia","United States",-84.39111,33.7483139
"2017-03-08T00:00:00Z","2017-03-14T00:00:00Z","Housekeeping Aid","General Services and Support Work","Veterans Affairs, Veterans Health Administration","Department Of Veterans Affairs","14.4500","16.8700","Per Hour","Multiple Schedules","Permanent","US Citizens - Restricted to Preference Eligibles (if available) - See IMPORTANT NOTICE","Applicants will be rated in accordance with the OPM Qualification Standard Handbook X-118C ( www.opm.gov/qualifications/x-118c ). For this position, the job element method is used to match what you, the applicant, can do against what the work calls for. Your knowledge, skills and abilities will be compared to the knowledge, skills and abilities (called job elements) needed for success. Your qualifications will first be evaluated against the prescribed screen out element (WG-2 and higher only; screen-outs are not applicable to WG-1). Applicants who appear to meet the screen out element are considered for further rating; those who do not are rated ineligible and are eliminated from consideration. The potential eligibles are rated against the remainder of the job elements. While a specific length of training and experience is not required, your responses to the questionnaire must be supported by detailed descriptions of your experience on your resume. You will be rated on the following Job Elements as part of the assessment questionnaire for this position: Dexterity and Safety Follow Directions Handle Weights and Loads Reliability And Dependability Special Aptitude - Housekeeping Work Work Practices","https://www.usajobs.gov:443/GetJob/ViewDetails/465438700","Brockton, Massachusetts","United States",-71.04706,42.08328
